PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
"""Birth prep"" pills",birth prep pills,birth prep pills,birth prep pills
"""Cold medicine"" (unspecified brand)",cold medicine unspecified brand,cold medicine unspecified brand,cod medicine unspecified bran
"""Gentle birth formula""",gentle birth formula,gentle birth formula,gentle birth formula
"""Herbal calcium""",herbal calcium,herbal calcium,herbal calcium
"""Liver vitamins""",liver vitamins,liver vitamins,liver vitamin
"""Medications for pain/contractions""",medications for paincontractions,medications for paincontractions,medications for paincontractions
"""Pain killers""",pain killers,pain killers,papain killers
non on file.,non on file,non on file,non von file
"""malaria drug""",malaria drug,malaria drug,malaria drug
"""med for vaginal infection""",med for vaginal infection,med for vaginal infection,med for vaginal infection
"""nausea meds""",nausea meds,nausea meds,nausea meds
(ORTHO TRI-CYCLEN,ortho tri cyclen,ortho tri cyclen,north tri cyclen
(VITAMIN D,vitamin d,vitamin d,vitamin d
*NO PNV RECORDS FOUND*,no pnv records found,no pnv records found,no pnv records found
*PRENATAL RECORDS N/A*,prenatal records na,prenatal records na,prenatal records rna
17-OHP, ohp,ohp,ohp
6-mercaptopurine, mercaptopurine,mercaptopurine,mercaptopurine
77074,,,
77081,,,
AEROCHAMBER SPACER,aerochamber spacer,aerochamber spacer,aerochamber spacer
ALLERGY,allergy,allergy,allergy
AMBIEN,ambien,ambien,ambien
AMMONIUM LACTATE 12 % LOTION,ammonium lactate   lotion,ammonium lactate,ammonium lactate
APPLE CIDER VINEGAR,apple cider vinegar,apple cider vinegar,apple cider vinegar
ATB,atb,atb,atb
AYR nasal drops,ayr nasal drops,ayr,ayr
AZT,azt,azt,azt
Abacavir,abacavir,abacavir,abacavir
Abacavir-Dolutegravir-Lamivudine,abacavir dolutegravir lamivudine,abacavir dolutegravir lamivudine,abacavir dolutegravir lamivudine
Abacavir-Lamivudine-Zidovudine,abacavir lamivudine zidovudine,abacavir lamivudine zidovudine,abacavir  lamivudine  zidovudine
Acarbose,acarbose,acarbose,acarbose
Acetaminophen,acetaminophen,acetaminophen,acetaminophen
Acetaminophen-Codeine,acetaminophen codeine,acetaminophen codeine,acetaminophen  codeine
Acetaminophen-Dyphenhydramine,acetaminophen dyphenhydramine,acetaminophen dyphenhydramine,acetaminophen  diphenhydramine
Acetaminophen-Pamabrom,acetaminophen pamabrom,acetaminophen pamabrom,acetaminophen  tramadol
Acetazolamide,acetazolamide,acetazolamide,acetazolamide
Acetic Acid-Oxyquinoline,acetic acid oxyquinoline,acetic acid oxyquinoline,acetic acid oxyquinoline
Acetyl-L-Carnitine,acetyl l carnitine,acetyl l carnitine,acetylcarnitine
Acid,acid,acid,acid
Acrivastine,acrivastine,acrivastine,acrivastine
Actin,actin,actin,actin
Acyclovir,acyclovir,acyclovir,acyclovir
Adalat,adalat,adalat,adalat
Adalimumab,adalimumab,adalimumab,adalimumab
Adarax,adarax,adarax,adarax
Adenosine,adenosine,adenosine,adenosine
Afrin,afrin,afrin,afrin
Albiglutide,albiglutide,albiglutide,liraglutide
Albuterol,albuterol,albuterol,albuterol
Aldomet,aldomet,aldomet,aldomet
Aldomine,aldomine,aldomine,aldomine
Alegra,alegra,alegra,alegra
Aleve,aleve,aleve,aleve
Alfalfa,alfalfa,alfalfa,alfalfa
Allegra,allegra,allegra,allegra
Almonds,almonds,almonds,almond
Alpha-Lipoic Acid,alpha lipoic acid,alpha lipoic acid,alpha lipoic acid
Alphalpha,alphalpha,alphalpha,alphalpha
Alprazolam,alprazolam,alprazolam,alprazolam
Amiodarone,amiodarone,amiodarone,amiodarone
Amitriptyline,amitriptyline,amitriptyline,amitriptyline
Amitriptyline HCl,amitriptyline hcl,amitriptyline,amitriptyline
Amitrptyline,amitrptyline,amitrptyline,amitriptyline
Amixil,amixil,amixil,amixil
Amlodipine,amlodipine,amlodipine,amlodipine
Amorthyoid,amorthyoid,amorthyoid,amorthyoid
Amoxicillin,amoxicillin,amoxicillin,amoxicillin
Amoxicillin-Clavulanic acid,amoxicillin clavulanic acid,amoxicillin clavulanic acid,amoxicillin  clavulanate
Amphetamine,amphetamine,amphetamine,amphetamine
Ampicillin,ampicillin,ampicillin,ampicillin
Ampicillin-Sulbactam,ampicillin sulbactam,ampicillin sulbactam,ampicillin sulbactam
Antacids,antacids,antacids,antacids
Antihistamine,antihistamine,antihistamine,histamine
Antihistamines,antihistamines,antihistamines,antihistamines
Antipyrine-benzocaine ear drops,antipyrine benzocaine ear drops,antipyrine benzocaine ear,antipyrine  benzocaine
Antivan,antivan,antivan,antivan
Anulsol-HC,anulsol hc,anulsol hc,anulsol hc
Anusol,anusol,anusol,anusol
Aquaphor Healing 41%,aquaphor healing ,aquaphor healing,aquaphor healing
Aripiprazole,aripiprazole,aripiprazole,aripiprazole
Arithromycin,arithromycin,arithromycin,clarithromycin
Armodafinil,armodafinil,armodafinil,armodafinil
Artichoke supplement,artichoke supplement,artichoke supplement,artichoke supplement
Artificial tears,artificial tears,artificial tears,artificial tears
Ascorbic Acid,ascorbic acid,ascorbic acid,ascorbic acid
Ascorbic acid,ascorbic acid,ascorbic acid,ascorbic acid
Ashwagandha,ashwagandha,ashwagandha,ashwagandha
Asmanex,asmanex,asmanex,asmanex
Aspirin,aspirin,aspirin,aspirin
Aspirin-Acetaminophen-Caffeine,aspirin acetaminophen caffeine,aspirin acetaminophen caffeine,acetaminophen  caffeine
Asthma Inhaler,asthma inhaler,asthma,asthma
Asthma inhaler,asthma inhaler,asthma,asthma
Atenolol,atenolol,atenolol,atenolol
Atorvastatin,atorvastatin,atorvastatin,atorvastatin
Atovaquone,atovaquone,atovaquone,atovaquone
Axert,axert,axert,axert
Ayurvedic medicine,ayurvedic medicine,ayurvedic medicine,ayurvedic medicine
Azalastine,azalastine,azalastine,azelastine
Azathioprine,azathioprine,azathioprine,azathioprine
Azelaic Acid,azelaic acid,azelaic acid,azelaic acid
Azelastin,azelastin,azelastin,azelastine
Azelastine,azelastine,azelastine,azelastine
Azelastine nasal spray,azelastine nasal spray,azelastine,azelastine
Azelastine ophthalmic solution,azelastine ophthalmic solution,azelastine ophthalmic solution,azelastine ophthalmic solution
Azelastine-Fluticasone,azelastine fluticasone,azelastine fluticasone,azelastine fluticasone
Azelastine-Fluticasone-NaCl,azelastine fluticasone nacl,azelastine fluticasone,azelastine fluticasone
Azithromycin,azithromycin,azithromycin,azithromycin
Azor,azor,azor,azor
B 12,b ,b,b
B 6,b ,b,b
B Complex,b complex,b complex,b complex
B Complex Vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B Complex vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B complex,b complex,b complex,b complex
B complex vitamin,b complex vitamin,b complex vitamin,b complex vitamin
B complex vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B vitamins complex,b vitamins complex,b vitamins complex,vitamin b complex
B-12,b ,b,b
B-12 Vitamins,b  vitamins,b vitamins,b vitamin
B-12 vitamin,b  vitamin,b vitamin,b vitamin
B-6,b ,b,b
B-6 ORAL,b  oral,b,b
B-6 vitamin,b  vitamin,b vitamin,b vitamin
B-Complex,b complex,b complex,b complex
